,princeton_positions,o_net_titles,similarity_score
0,Integrated Planning Supervisor,"Production, Planning, and Expediting Clerks",0.25819888974716115
1,Staff Psychologist,Food Preparation Workers,0.0
2,Emergency Physician,Physician Assistants,0.4999999999999999
3,Senior Research Scientist,Clinical Research Coordinators,0.3333333333333334
4,Business Intelligence Analyst,Business Intelligence Analysts,0.6666666666666669
5,Software Developer Engineer,Software Developers,0.408248290463863
6,Head Of Marketing,Marketing Managers,0.408248290463863
7,Stroke Medical Director,Medical Transcriptionists,0.408248290463863
8,Software Development Engineer II,Software Developers,0.35355339059327373
9,Composers Assistant,Music Directors and Composers,0.35355339059327373
10,Senior Technical Advisor,Technical Writers,0.408248290463863
11,Fellowship,Food Preparation Workers,0.0
12,Digitization Assistant,Food Preparation Workers,0.0
13,Summer Intern,Food Preparation Workers,0.0
14,Mental Health Technician,Mental Health Counselors,0.6666666666666669
15,Senior Executive Director,Executive Secretaries and Executive Administrative Assistants,0.408248290463863
16,Customer Account Manager,Customer Service Representatives,0.3333333333333334
17,Process Safety Engineer,Public Safety Telecommunicators,0.3333333333333334
18,Stewardship Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.2357022603955158
19,Corporate Banking Associate,Food Preparation Workers,0.0
20,Senior Android Software Engineer,Software Developers,0.35355339059327373
21,General Assignment Reporter,"Dentists, General",0.408248290463863
22,Recruiting Support Officer,Computer Network Support Specialists,0.2886751345948129
23,Post-Baccalaureate Premedical Student,Food Preparation Workers,0.0
24,Analysis Engineer,"Compensation, Benefits, and Job Analysis Specialists",0.2886751345948129
25,Research and Communications Fellow,Computer and Information Research Scientists,0.4472135954999579
26,Research Professional,Clinical Research Coordinators,0.408248290463863
27,Data Analytics,Data Scientists,0.4999999999999999
28,Site Success Manager,Brownfield Redevelopment Specialists and Site Managers,0.2357022603955159
29,Development Director,Training and Development Managers,0.35355339059327373
30,Executive Officer,Executive Secretaries and Executive Administrative Assistants,0.4999999999999999
31,Head Of Research,Clinical Research Coordinators,0.3333333333333334
32,Outreach Worker,Food Preparation Workers,0.0
33,Legal Honors Fellow,Paralegals and Legal Assistants,0.2886751345948129
34,Rotational Product Manager,Demonstrators and Product Promoters,0.2886751345948129
35,Head Tutor,Chefs and Head Cooks,0.35355339059327373
36,Principal Scientist I,Food Preparation Workers,0.0
37,Inside Sales Representative,Sales Managers,0.408248290463863
38,Physician Assistant,Physician Assistants,0.4999999999999999
39,Client Associate,Food Preparation Workers,0.0
40,Chief Scientific Officer,Chief Executives,0.408248290463863
41,Lead Analytics Consultant,Food Preparation Workers,0.0
42,Engineering Partner,Automotive Engineering Technicians,0.408248290463863
43,Malware Analyst,Food Preparation Workers,0.0
44,Computer Vision Engineer,Computer Programmers,0.408248290463863
45,Senior Business Manager,Business Continuity Planners,0.3333333333333334
46,IT Data Analyst,Data Scientists,0.408248290463863
47,Provost Fellow,Food Preparation Workers,0.0
48,Senior Product Analytics Manager,Demonstrators and Product Promoters,0.25
49,Senior User Experience Researcher,Computer User Support Specialists,0.25
50,Psychiatry Research,Clinical Research Coordinators,0.408248290463863
51,Lead Staff,Food Preparation Workers,0.0
52,Optical System Engineer,Chemical Plant and System Operators,0.25819888974716115
53,Guest Experience Lead,Food Preparation Workers,0.0
54,Associate Finance Manager,Food Preparation Workers,0.0
55,Narrative Designer,Food Preparation Workers,0.0
56,R-Programming Tutor,Media Programming Directors,0.408248290463863
57,Publishing Assistant,Food Preparation Workers,0.0
58,Ph.D. Candidate,Food Preparation Workers,0.0
59,Robotics Engineer,Robotics Technicians,0.4999999999999999
60,Senior Managing Strategy Principal,Food Preparation Workers,0.0
61,Author,Food Preparation Workers,0.0
