,princeton_positions,o_net_titles,similarity_score
0,Integrated Planning Supervisor,"Production, Planning, and Expediting Clerks",0.24071524320658252
1,Staff Psychologist,Food Preparation Workers,0.0
2,Emergency Physician,Emergency Medical Technicians,0.5142290519813799
3,Senior Research Scientist,Operations Research Analysts,0.2562669562730569
4,Business Intelligence Analyst,Business Intelligence Analysts,0.702887051726439
5,Software Developer Engineer,Software Developers,0.3108844016421279
6,Head Of Marketing,Marketing Managers,0.3826982079683634
7,Stroke Medical Director,Medical Assistants,0.3346557436270535
8,Software Development Engineer II,Software Developers,0.2746763885732501
9,Composers Assistant,Music Directors and Composers,0.5646315334292975
10,Senior Technical Advisor,Technical Writers,0.3593939106180874
11,Fellowship,Food Preparation Workers,0.0
12,Digitization Assistant,Food Preparation Workers,0.0
13,Summer Intern,Food Preparation Workers,0.0
14,Mental Health Technician,Mental Health Counselors,0.6385373277680093
15,Senior Executive Director,Executive Secretaries and Executive Administrative Assistants,0.4348732692553381
16,Customer Account Manager,Customer Service Representatives,0.40150044890851666
17,Process Safety Engineer,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",0.4098235729461658
18,Stewardship Officer,"Military Officer Special and Tactical Operations Leaders, All Other",0.12435620063935282
19,Corporate Banking Associate,Food Preparation Workers,0.0
20,Senior Android Software Engineer,Software Developers,0.24205271422072547
21,General Assignment Reporter,General and Operations Managers,0.2818229780228457
22,Recruiting Support Officer,"Legal Support Workers, All Other",0.30928828324003466
23,Post-Baccalaureate Premedical Student,Food Preparation Workers,0.0
24,Analysis Engineer,"Compensation, Benefits, and Job Analysis Specialists",0.3859700285613564
25,Research and Communications Fellow,"Communications Teachers, Postsecondary",0.3677384164505819
26,Research Professional,Operations Research Analysts,0.24850529296465565
27,Data Analytics,Data Scientists,0.35812472507026827
28,Site Success Manager,Brownfield Redevelopment Specialists and Site Managers,0.29948082698157263
29,Development Director,Training and Development Managers,0.3288329145321809
30,Executive Officer,Executive Secretaries and Executive Administrative Assistants,0.459650084909301
31,Head Of Research,Chefs and Head Cooks,0.28294473204619
32,Outreach Worker,Food Preparation Workers,0.0
33,Legal Honors Fellow,"Legal Support Workers, All Other",0.2656535006030115
34,Rotational Product Manager,Demonstrators and Product Promoters,0.15818034873934783
35,Head Tutor,Chefs and Head Cooks,0.286660289741738
