,Target Job Title,Matched Job Title,Similarity Score
0,Integrated Planning Supervisor,Project Management Specialists,0.5229911
1,Staff Psychologist,Clinical and Counseling Psychologists,0.68433106
2,Emergency Physician,Emergency Medicine Physicians,0.9334066
3,Senior Research Scientist,Computer and Information Research Scientists,0.5462724
4,Business Intelligence Analyst,Business Intelligence Analysts,0.94114745
5,Software Developer Engineer,Software Developers,0.87788427
6,Head Of Marketing,Marketing Managers,0.76176226
7,Stroke Medical Director,Neurologists,0.5177567
8,Software Development Engineer II,Software Developers,0.69416773
9,Composers Assistant,Music Directors and Composers,0.7127762
10,Senior Technical Advisor,Residential Advisors,0.59962916
11,Fellowship,Clergy,0.54549885
12,Digitization Assistant,Statistical Assistants,0.5133086
13,Summer Intern,Tutors,0.42236334
14,Mental Health Technician,Psychiatric Technicians,0.8860761
15,Senior Executive Director,Chief Executives,0.6830093
16,Customer Account Manager,Customer Service Representatives,0.63347936
17,Process Safety Engineer,Manufacturing Engineers,0.6341715
18,Stewardship Officer,Flight Attendants,0.61248887
19,Corporate Banking Associate,"Financial Clerks, All Other",0.59984154
20,Senior Android Software Engineer,Software Developers,0.55016595
21,General Assignment Reporter,"Office Clerks, General",0.4970743
22,Recruiting Support Officer,Special Forces Officers,0.55642164
23,Post-Baccalaureate Premedical Student,"Education Administrators, Postsecondary",0.38741297
24,Analysis Engineer,Industrial Engineers,0.6365063
25,Research and Communications Fellow,"Communications Teachers, Postsecondary",0.6099385
26,Research Professional,Clinical Research Coordinators,0.64054835
27,Data Analytics,Data Scientists,0.6347103
28,Site Success Manager,Marketing Managers,0.41489774
29,Development Director,Training and Development Specialists,0.61362356
30,Executive Officer,Chief Executives,0.7201221
31,Head Of Research,Clinical Research Coordinators,0.57963705
32,Outreach Worker,"Community and Social Service Specialists, All Other",0.5987148
33,Legal Honors Fellow,Lawyers,0.5397471
34,Rotational Product Manager,Industrial Production Managers,0.39272302
35,Head Tutor,Tutors,0.76715684
36,Principal Scientist I,"Physical Scientists, All Other",0.6058341
37,Inside Sales Representative,Retail Salespersons,0.62638247
38,Physician Assistant,Physician Assistants,0.96276903
39,Client Associate,Brokerage Clerks,0.45702407
40,Chief Scientific Officer,Chief Sustainability Officers,0.6787444
41,Lead Analytics Consultant,Business Intelligence Analysts,0.49057853
42,Engineering Partner,Industrial Engineers,0.6795221
43,Malware Analyst,Information Security Analysts,0.59501964
44,Computer Vision Engineer,Computer Hardware Engineers,0.69882214
45,Senior Business Manager,Sales Managers,0.68159723
46,IT Data Analyst,Data Scientists,0.6976305
47,Provost Fellow,"Education Administrators, All Other",0.4843193
48,Senior Product Analytics Manager,Sales Managers,0.55050796
49,Senior User Experience Researcher,Computer User Support Specialists,0.52414143
50,Psychiatry Research,Psychiatrists,0.63626903
51,Lead Staff,"First-Line Supervisors of Protective Service Workers, All Other",0.5000466
52,Optical System Engineer,Photonics Engineers,0.66669995
53,Guest Experience Lead,"Ushers, Lobby Attendants, and Ticket Takers",0.42674804
54,Associate Finance Manager,Financial Managers,0.78502023
55,Narrative Designer,"Designers, All Other",0.5735816
56,R-Programming Tutor,Tutors,0.59901214
57,Publishing Assistant,Desktop Publishers,0.54751384
58,Ph.D. Candidate,"Political Science Teachers, Postsecondary",0.46992385
59,Robotics Engineer,Robotics Engineers,0.9590414
60,Senior Managing Strategy Principal,General and Operations Managers,0.512136
61,Author,Writers and Authors,0.7301464
62,Corporate Attorney,Lawyers,0.6821507
63,Commercial Partnerships Manager,Marketing Managers,0.5964249
64,Account Manager,Financial Managers,0.6146781
65,Congressional Reporter,Legislators,0.5063168
66,Kindergarten Teacher,"Kindergarten Teachers, Except Special Education",0.75412786
67,Associate Justice and Mental Health Deputy,Probation Officers and Correctional Treatment Specialists,0.57140017
68,Head Course Assistant,"Teaching Assistants, All Other",0.6557669
69,English Language Instructor,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",0.57631254
70,Segment Director,Art Directors,0.40080845
71,Linear Algebra Tutor,Tutors,0.5748166
72,Senior Category Manager,Administrative Services Managers,0.5350623
73,Staff,Customer Service Representatives,0.53178716
